City,Country,Humidity,Longitude,latitude,Date,Max Temp,Wind Speed,cloudiness
Castro,BR,66,-50.0119,-24.7911,1661672619,57.58,3.06,70
Laguna,US,73,-121.4238,38.421,1661672619,71.78,8.05,0
Cherskiy,RU,49,161.3,68.75,1661672620,60.64,11.16,94
Pevek,RU,87,170.3133,69.7008,1661672620,37.17,6.89,11
São João da Barra,BR,90,-41.0511,-21.6403,1661672621,69.64,14.83,2
Kaitangata,NZ,88,169.8464,-46.2817,1661672621,43.57,3.53,8
Hermanus,ZA,68,19.2345,-34.4187,1661672622,56.12,5.95,3
Yatou,CN,70,122.3833,37.15,1661672622,70.05,4.25,98
Lüderitz,NA,61,15.1594,-26.6481,1661672622,57.99,15.77,0
Rikitea,PF,74,-134.9692,-23.1203,1661672623,71.17,27.65,100
Upernavik,GL,84,-56.1549,72.7868,1661672623,35.42,7.49,83
Hilo,US,85,-155.09,19.7297,1661672565,79.29,4.61,20
Cape Town,ZA,73,18.4232,-33.9258,1661672550,61.38,3.0,40
Cidreira,BR,86,-50.2056,-30.1811,1661672624,54.72,20.67,100
Maningrida,AU,68,134.2667,-12.0667,1661672624,82.04,13.31,6
Rocha,UY,55,-54.3333,-34.4833,1661672625,43.2,12.17,8
Saskylakh,RU,68,114.0833,71.9167,1661672625,43.39,10.54,100
Warmbad,NA,27,18.7333,-28.45,1661672625,63.82,8.21,0
Port Hedland,AU,41,118.5667,-20.3167,1661672626,80.65,16.11,0
Saint-Augustin,CA,75,-58.6502,51.226,1661672626,51.24,6.73,90
Fare,PF,76,-151.0167,-16.7,1661672626,76.78,8.25,1
Atuona,PF,70,-139.0333,-9.8,1661672627,77.32,22.91,29
Labuhan,ID,61,112.2051,-6.8844,1661672627,85.26,6.6,100
Dolinsk,RU,68,142.8,47.35,1661672627,68.05,9.42,68
Busselton,AU,65,115.3333,-33.65,1661672628,54.59,9.91,100
Camacha,PT,68,-16.3333,33.0833,1661672628,65.62,17.27,75
Grootfontein,NA,24,18.1167,-19.5667,1661672629,69.37,3.44,0
Faanui,PF,75,-151.75,-16.4833,1661672629,77.16,7.49,34
Tuktoyaktuk,CA,85,-133.0374,69.4541,1661672629,43.77,13.04,36
Bluff,NZ,73,168.3333,-46.6,1661672630,46.8,12.44,39
Albany,US,87,-73.9662,42.6001,1661672587,62.31,2.73,0
Port Elizabeth,ZA,62,25.5701,-33.918,1661672630,63.32,0.0,0
Viedma,AR,54,-62.9967,-40.8135,1661672631,35.49,8.68,0
Qaanaaq,GL,72,-69.3632,77.484,1661672631,27.41,6.2,69
Kahului,US,78,-156.47,20.8947,1661672380,78.84,10.36,20
East London,ZA,59,27.9116,-33.0153,1661672632,65.34,8.05,0
Aksu,CN,32,80.2644,41.1231,1661672632,79.07,4.05,73
Kathu,TH,99,98.3332,7.9178,1661672632,85.82,8.7,56
Vaini,TO,100,-175.2,-21.2,1661672633,69.96,3.44,20
Arraial do Cabo,BR,92,-42.0278,-22.9661,1661672633,68.94,18.5,11
Ürümqi,CN,20,87.6005,43.801,1661672402,81.55,6.71,0
Banyo,CM,95,11.8167,6.75,1661672634,65.07,2.08,100
Mādhogarh,IN,40,79.1869,26.276,1661672634,96.8,6.11,82
Waingapu,ID,63,120.2641,-9.6567,1661672635,83.61,11.9,52
Igurubi,TZ,36,33.7,-4.0,1661672635,78.62,5.82,10
Butaritari,KI,76,172.7902,3.0707,1661672636,82.58,16.33,45
Nishihara,JP,73,127.7558,26.1842,1661672636,88.88,9.22,75
Saint Anthony,US,93,-93.218,45.0205,1661672637,68.25,14.97,100
Geraldton,AU,67,114.6,-28.7667,1661672637,63.01,12.66,6
Ko Samui,TH,62,99.9357,9.5357,1661672637,91.31,8.05,20
Bethel,US,81,-73.414,41.3712,1661672638,72.75,0.0,100
Praia da Vitória,PT,88,-27.0667,38.7333,1661672638,71.85,17.49,75
Dunedin,NZ,80,170.5036,-45.8742,1661672638,50.81,4.0,53
Yellowknife,CA,88,-114.3525,62.456,1661672639,57.72,3.44,100
Tateyama,JP,86,139.8667,34.9833,1661672639,76.1,19.55,100
Stokmarknes,NO,93,14.9108,68.5646,1661672640,49.98,19.57,75
Barrow,US,93,-156.7887,71.2906,1661672640,37.42,11.5,100
Carnarvon,AU,51,113.6333,-24.8667,1661672640,67.03,19.35,0
